id_str,score,place_typefull_nametext,,,extended_tweet,re_tweet,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,1,,,RT @lyse96: I’m going to need a credit on my next bill. Do you understand how frustrating it is to not be able to call my family — not ever…,,I’m going to need a credit on my next bill. Do you understand how frustrating it is to not be able to call my famil… https://t.co/thUtiOlhiN,,,
1.05781E+18,1,,,@Caped_Crusader6 @sprintcare Hope your mother in law will be ok,,,,,
1.05781E+18,1,,,I’m STILL having problems calling anyone with the #sprintoutage. Are you kidding me? It’s been about 6 hours. What… https://t.co/L5aYRuHZ4e,I’m STILL having problems calling anyone with the #sprintoutage. Are you kidding me? It’s been about 6 hours. What gives? @sprintcare @sprint,,,,
1.05781E+18,1,,,Join the @PRSMAssociation webinar on 11/1 to learn how @sprint leveraged a cutting-edge automation solution that in… https://t.co/mflmR9G6F0,Join the @PRSMAssociation webinar on 11/1 to learn how @sprint leveraged a cutting-edge automation solution that increased staff value &amp; reduced operational overhead. RSVP at https://t.co/WYLWOUeiy6! #facilitiesmanagement #prsm https://t.co/dzwHKtrk5S,,,,
1.05781E+18,1,,,Why do I pay $400 a month for @sprint when they barely work 🤷🏼‍♀️,,,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,1,,,@sprintcare Im in South Carolina and im having troubles making calls,,,,,
1.05781E+18,1,city,"Chicago, IL",@sprintcare @Ryan_Pre23 Send the credits !,,,,,
1.05781E+18,3,,,.@sprint YOU SUCK!,,,,,
1.05781E+18,1,,,@sprint I would hate to be Sprint right now.....,,,,,
1.05781E+18,1,,,"@sprintcare Whoever is switching if you're considering @verizon use me as a reference! 
You get what you pay for",,,,,
1.05781E+18,1,,,"@sprintcare Walgreens sells \Plan B\""""",,,,,
1.05781E+18,1,,,@sprint What is going on with the cellular service in Illinois? I haven’t been able to make a call since this morni… https://t.co/dmtxlVQ4e8,"@sprint What is going on with the cellular service in Illinois? I haven’t been able to make a call since this morning!! 😡 I can’t even call 611. And yes, my bill is ALWAYS paid!!",,,,
1.05781E+18,3,,,@sprint Outage affecting Metro Detroit. 3 phones in this household. Not happy.,,,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,1,,,Idk why anyone pays for @sprint when they barely ever work 🤷🏼‍♀️,,,,,
1.05781E+18,1,,,@sprint Service sucks today. More than everyday before. When's @TMobile buying you?! Ugh!,,,,,
1.05782E+18,1,,,@sprintcare @MichelCombes Appreciate the reply. Definitely a complete inconvenience for your “valued customers”. Ho… https://t.co/sdbrXzGuMt,@sprintcare @MichelCombes Appreciate the reply. Definitely a complete inconvenience for your “valued customers”. Hopefully you all compensate ppl for the inconvenience.,,,,
1.05782E+18,1,,,@sprintcare Voice is nonexistent in Tennessee as well.,,,,,
1.05782E+18,1,,,@sprintcare Tweeting the exact same message three hours after the 1st isn’t helpful. How about some real informatio… https://t.co/87NRns5QRr,@sprintcare Tweeting the exact same message three hours after the 1st isn’t helpful. How about some real information? Or an accurate tweet? Outages from NY to CA. #SPRINTSUCKS,,,,
1.05782E+18,3,,,"@sprintcare 20 year customer here! 6 lines, unacceptable. Compensation??",,,,,
1.05782E+18,2,,,@sprintcare Its been 4 hours,,,,,
1.05782E+18,1,,,RT @LoudPackJack: Y’all lame then a bitch my next bill free or I’m leaving y’all taxing drop calls asses  lmao @sprint,,Y’all lame then a bitch my next bill free or I’m leaving y’all taxing drop calls asses  lmao @sprint,,,
1.05782E+18,1,,,RT @LoudPackJack: Y’all lame then a bitch my next bill free or I’m leaving y’all taxing drop calls asses  lmao @sprint,,Y’all lame then a bitch my next bill free or I’m leaving y’all taxing drop calls asses  lmao @sprint,,,
1.05782E+18,2,,,Bro fuck sprint @sprint,,,,,
1.05782E+18,1,,,@sprint COUNT YOUR FUCKIN DAYS 🗣,,,,,
1.05782E+18,2,,,do better @sprint,,,,,
1.05782E+18,2,,,@sprintcare 46706,,,,,
1.05782E+18,1,,,@Whats_Tapaning @sprintcare Come to @TMobile 🤷🏽‍♂️ https://t.co/1ylT1uskfg,,,,,
1.05782E+18,1,admin,"Ohio, USA",WHAT IF I NEED TO CALL 911 @sprint https://t.co/BGxDOGYQci,,,,,
1.05782E+18,1,,,@sprintcare @BeiJoyy she tired of sending y’all DMs. she leaving y’all soon,,,,,
1.05782E+18,1,,,@sprint probably can respond because their system isn’t working right now.  Phones are not being made.  Busy signal… https://t.co/IZ8xWgBA5F,"@sprint probably can respond because their system isn’t working right now.  Phones are not being made.  Busy signals everywhere.  No LTE or anything.Welcome to #Sprint, where nothing works.  Just ask their CEO @MichelCombes or even @sprintcare? They will respond here to save face",,,,
1.05782E+18,2,,,@sprintcare How much longer? This is absolutely ridiculous.  This started at noon here in Chicago.,,,,,
1.05782E+18,1,,,@sprintcare @sprint @MichelCombes 20 year customer and this outage is ridiculous! 6 lines no outgoing calls all day… https://t.co/CE8Nqfn6lt,@sprintcare @sprint @MichelCombes 20 year customer and this outage is ridiculous! 6 lines no outgoing calls all day! Compensation?? Please take care of my time and outage better be worth it or I’m switching carriers!,,,,
1.05782E+18,1,,,@UriielEduardo @sprint @sprintcare @ATT all the way!!! #BestOne,,,,,
1.05782E+18,1,,,@sprintcare And how about some updates on your website. I checked there and just got ads for upgrading my phone. I’… https://t.co/N8olW2NnGa,@sprintcare And how about some updates on your website. I checked there and just got ads for upgrading my phone. I’d like to just have my current phone be a phone!,,,,
1.05782E+18,1,,,@sprint who guys better get your act together no phone service is unacceptable #annoyedcustomer,,,,,
1.05782E+18,3,city,"Detroit, MI",@Letitia_Foley1 @sprint @sprintcare It’s baaackkkk!!!!!  Ok so onto getting a credit and praying it holds thru Election Day.,,,,,
1.05782E+18,1,,,@esinreich @Jgentile_21 @sprint It's not just sprint some Verizon and AT&amp;T customers are affected too,,,,,
1.05782E+18,1,,,@sprintnews @sprint @SprintCTO Why is my phone not working in Chicago???,,,,,
1.05782E+18,2,,,@sprintcare um my phone,,,,,
1.05782E+18,1,,,@yuille_wendy @sprint @sprintcare Yes!!!!,,,,,
1.05782E+18,3,,,"@sprintcare @sprint the last two night, I can receive calls but they drop within a couple minutes. Fix this!!!",,,,,
1.05782E+18,1,,,@sprintcare I haven’t been able to get incoming calls since yesterday and now I can’t call out or receive since 12p… https://t.co/XOHVudyAbN,@sprintcare I haven’t been able to get incoming calls since yesterday and now I can’t call out or receive since 12pm today. So I am confused to how this has only been going on for a few hours.,,,,
1.05782E+18,1,,,Does @CBSNews or @NBCNews or @ABC know @sprint’s system is down?  Because it’s underpowered and unmanned? All they… https://t.co/3Ttf4Kpico,Does @CBSNews or @NBCNews or @ABC know @sprint’s system is down?  Because it’s underpowered and unmanned? All they care about is how much money they make.  Customer satisfaction doesn’t matter,,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05782E+18,2,,,@sprintcare yea!!! Finally have service!!,,,,,
1.05782E+18,2,,,"@nourishMINT @sprintcare Sorry to hear that. I never got anyone from Sprint on the phone. I googled \sprint outage\""… https://t.co/Qqw9XPQeOZ""","@nourishMINT @sprintcare Sorry to hear that. I never got anyone from Sprint on the phone. I googled \sprint outage\"" and discovered that others were having the same problem. My number is the only one on my account affected. I hung up when I was on hold with Sprint.""",,,,
1.05782E+18,1,,,@Whats_Tapaning @sprintcare @TMobile $5 is pretty weak.,,,,,
1.05782E+18,2,,,@Mego_myeggo @sprint They’re having an outage across the Midwest,,,,,
1.05782E+18,1,,,@LoudPackJack @sprint YEA FUCK SPRINT!!!!!,,,,,
1.05782E+18,3,,,@sprintcare I hope you all are passing out credits for this inconvenience....,,,,,
1.05782E+18,1,,,RT @PamelaS572477: @sprintcare @fox32news Would be nice if after 5 and a half hour they could say something else. This isn't a small proble…,,@sprintcare @fox32news Would be nice if after 5 and a half hour they could say something else. This isn't a small p… https://t.co/To3CDfmaTH,,,
1.05782E+18,1,,,@Khalualai @lisavaldez24 @sprintcare No lie once in done with my contract I’m done ✅,,,,,
1.05782E+18,3,,,@Gucci_2xs @sprint He just tweakin sprint we good I got good service right now! He probably with cricket or some,,,,,
1.05782E+18,2,,,@sprintcare @fox32news Yea!!! I FINALLY HAVE SERVICE!!!,,,,,
1.05782E+18,2,,,@sprintcare,,,,,
1.05782E+18,2,,,@sprintcare For 3 days ???,,,,,
1.05782E+18,1,,,SPRINT HAS ME MESSED UP. FIX MY PHONE. FIX THIS “OUTAGE” OR MAKE THIS BILL FREE BRO. @sprintcare @sprint,,,,,
1.05782E+18,1,,,@sprint y’all owe me 80 or I’m goin to the nearest location and beating the shit outta y’all associate 😤,,,,,
1.05782E+18,1,,,@sprintcare @coachbrion20 Intermittent? It’s been hours and it also happened a few days ago. What’s been done to fi… https://t.co/79vV3qujZt,"@sprintcare @coachbrion20 Intermittent? It’s been hours and it also happened a few days ago. What’s been done to fix the problem? Already had an open ticket for the multiple issues on my family’s phone service with you, and we can’t even get a hold of you to try to get all of these issues resolved.",,,,
1.05782E+18,1,,,@sprint @sprintcare what is going with your service? I can’t make outbound calls and have been on hold for 20Mins w… https://t.co/0N8wUVo4Sq,@sprint @sprintcare what is going with your service? I can’t make outbound calls and have been on hold for 20Mins w/CS. This is ridiculous #sprint,,,,
1.05782E+18,1,,,@sprint why would I pay my lease off and turn in my phone? You guys always so retarded? I need to transfer my accou… https://t.co/szerJVncbb,"@sprint why would I pay my lease off and turn in my phone? You guys always so retarded? I need to transfer my account to someone else attached to the account, she has nothing to do with my lease or phone, we just want to split the lines. This is why I left you for Verizon, U SUCK",,,,
1.05782E+18,1,,,@Sprint can y’all fix the coverage on the Midwest? 🙄🤔,,,,,
